datetime,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_direction,clouds
1686099248,284.42,283.67,283.19,285.23,1022,79,10000,5.14,60,75
1686099248,284.42,283.67,283.19,285.23,1022,79,10000,5.14,60,75
1686099248,284.42,283.67,283.19,285.23,1022,79,10000,5.14,60,75
1686099281,284.42,283.67,283.19,285.23,1022,79,10000,5.14,60,75
1686099560,284.42,283.64,283.19,285.23,1022,78,10000,5.14,60,75
1686099926,284.4,283.64,283.03,285.15,1022,79,10000,5.14,50,75
1686099926,284.4,283.64,283.03,285.15,1022,79,10000,5.14,50,75
1686099926,284.4,283.64,283.03,285.15,1022,79,10000,5.14,50,75
1686100008,284.4,283.64,283.03,285.15,1022,79,10000,5.14,50,75
1686100402,284.34,283.58,283.03,285.15,1022,79,10000,5.14,50,75
1686100463,284.34,283.58,283.03,285.15,1022,79,10000,5.14,50,75
1686100708,284.32,283.56,283.03,285.15,1022,79,10000,5.14,50,75
1686100708,284.32,283.56,283.03,285.15,1022,79,10000,5.14,50,75
1686101026,284.26,283.49,283.03,285.15,1022,79,10000,5.14,50,75
1686101223,284.26,283.49,283.03,285.15,1022,79,10000,5.14,50,75
1686101223,284.26,283.49,283.03,285.15,1022,79,10000,5.14,50,75
1686101316,284.26,283.49,283.03,285.15,1022,79,10000,5.14,50,75
1686101316,284.26,283.49,283.03,285.15,1022,79,10000,5.14,50,75
1686101371,284.26,283.49,283.03,285.15,1022,79,10000,5.14,50,75
1686101744,284.19,283.36,282.88,284.94,1022,77,10000,5.14,60,75
1686101744,284.19,283.36,282.88,284.94,1022,77,10000,5.14,60,75
1686101744,284.19,283.36,282.88,284.94,1022,77,10000,5.14,60,75
1686101819,284.13,283.32,282.86,284.92,1022,78,10000,5.14,60,75
1686101819,284.13,283.32,282.86,284.92,1022,78,10000,5.14,60,75
1686101825,284.15,283.32,282.88,284.94,1022,77,10000,5.14,60,75
1686102311,284.13,283.29,282.88,284.94,1022,77,10000,5.14,60,75
1686102311,284.13,283.29,282.88,284.94,1022,77,10000,5.14,60,75
1686102311,284.13,283.29,282.88,284.94,1022,77,10000,5.14,60,75
1686102311,284.13,283.29,282.88,284.94,1022,77,10000,5.14,60,75
1686102428,284.12,283.28,282.88,284.94,1022,77,10000,5.14,60,75
1686103133,283.9,283.12,282.88,284.32,1022,80,10000,5.14,60,75
1686103133,283.9,283.12,282.88,284.32,1022,80,10000,5.14,60,75
1686103163,283.9,283.12,282.88,284.32,1022,80,10000,5.14,60,75
1686103163,283.9,283.12,282.88,284.32,1022,80,10000,5.14,60,75
1686103367,283.88,283.1,282.88,284.32,1022,80,10000,5.14,50,75
1686103522,283.88,283.1,282.88,284.32,1022,80,10000,5.14,50,75
1686103522,283.88,283.1,282.88,284.32,1022,80,10000,5.14,50,75
1686103522,283.88,283.1,282.88,284.32,1022,80,10000,5.14,50,75
